Source,Type,Target,Weight
det romerske r,undirected,japan,1
det romerske r,undirected,ganløs,1
det romerske r,undirected,rig,2
det romerske r,undirected,zakæus,1
det romerske r,undirected,israel,3
ganløs,undirected,japan,1
japan,undirected,rig,1
japan,undirected,zakæus,1
israel,undirected,japan,5
ganløs,undirected,rig,1
ganløs,undirected,zakæus,1
ganløs,undirected,israel,2
rig,undirected,zakæus,4
israel,undirected,rig,15
israel,undirected,zakæus,10
himmer,undirected,strange fruit,1
southern tre,undirected,strange fruit,1
strange fruit,undirected,the southern breez,1
strange fruit,undirected,sydstat,1
himmer,undirected,southern tre,1
himmer,undirected,the southern breez,1
himmer,undirected,sydstat,1
southern tre,undirected,the southern breez,1
southern tre,undirected,sydstat,1
sydstat,undirected,the southern breez,1
cambodja,undirected,nirvana,1
twin tow,undirected,vest,1
new york,undirected,vest,4
afghanistan,undirected,vest,4
irak,undirected,vest,12
new york,undirected,twin tow,2
afghanistan,undirected,twin tow,1
irak,undirected,twin tow,1
afghanistan,undirected,new york,5
irak,undirected,new york,5
afghanistan,undirected,irak,16
galilæa,undirected,samaria,17
nain,undirected,skaberværk,1
jord,undirected,nain,16
den blå plan,undirected,nain,1
mælkevej,undirected,nain,1
jord,undirected,skaberværk,1
den blå plan,undirected,skaberværk,1
mælkevej,undirected,skaberværk,1
den blå plan,undirected,jord,5
jord,undirected,mælkevej,7
den blå plan,undirected,mælkevej,1
kapernaum,undirected,leødjesmørum,1
jordan,undirected,kapernaum,2
konfirmandhus,undirected,smørum kirk,1
tivoli,undirected,vridsløselil,1
det store hav,undirected,tivoli,1
jord,undirected,tivoli,2
bornholmersild,undirected,tivoli,1
tivoli,undirected,vridsløselille statsfængsel,1
kappadoki,undirected,tivoli,1
odens,undirected,tivoli,2
det store hav,undirected,vridsløselil,1
jord,undirected,vridsløselil,2
bornholmersild,undirected,vridsløselil,1
vridsløselil,undirected,vridsløselille statsfængsel,2
kappadoki,undirected,vridsløselil,1
odens,undirected,vridsløselil,1
det store hav,undirected,jord,2
bornholmersild,undirected,det store hav,1
det store hav,undirected,vridsløselille statsfængsel,1
det store hav,undirected,kappadoki,1
det store hav,undirected,odens,1
bornholmersild,undirected,jord,1
jord,undirected,vridsløselille statsfængsel,1
jord,undirected,kappadoki,6
jord,undirected,odens,10
bornholmersild,undirected,vridsløselille statsfængsel,1
bornholmersild,undirected,kappadoki,1
bornholmersild,undirected,odens,1
kappadoki,undirected,vridsløselille statsfængsel,1
odens,undirected,vridsløselille statsfængsel,1
kappadoki,undirected,odens,1
det gamle testament,undirected,jerusalem,122
jerusalem,undirected,kors,84
jerusalem,undirected,ribe stift,2
jerusalem,undirected,oslo,6
det gamle testament,undirected,kors,25
det gamle testament,undirected,ribe stift,4
det gamle testament,undirected,oslo,4
kors,undirected,ribe stift,1
kors,undirected,oslo,3
oslo,undirected,ribe stift,1
davids tron,undirected,jord,5
davids tron,undirected,nazar,2
kaldæa,undirected,palæstina,3
jerusalem,undirected,palæstina,41
jord,undirected,palæstina,34
palæstina,undirected,paradisets bro,2
palæstina,undirected,paradis,8
nazar,undirected,palæstina,5
jerusalem,undirected,kaldæa,6
jord,undirected,kaldæa,2
kaldæa,undirected,paradisets bro,2
kaldæa,undirected,paradis,2
kaldæa,undirected,nazar,4
jerusalem,undirected,paradisets bro,2
jerusalem,undirected,paradis,113
jord,undirected,paradisets bro,2
paradis,undirected,paradisets bro,2
nazar,undirected,paradisets bro,2
nazar,undirected,paradis,19
paradis,undirected,paradisets hav,27
jerusalem,undirected,sisyfo,1
magtens centrum,undirected,sisyfo,1
himmer,undirected,sisyfo,1
det religiøse magtcentrum,undirected,sisyfo,1
betlehem,undirected,sisyfo,1
det politiske magtcentrum,undirected,sisyfo,1
sisyfo,undirected,zakæus,1
israel,undirected,sisyfo,1
den hellige by,undirected,sisyfo,1
jerusalem,undirected,magtens centrum,5
himmer,undirected,jerusalem,30
det religiøse magtcentrum,undirected,jerusalem,1
det politiske magtcentrum,undirected,jerusalem,1
jerusalem,undirected,zakæus,18
den hellige by,undirected,jerusalem,12
himmer,undirected,magtens centrum,1
det religiøse magtcentrum,undirected,magtens centrum,1
betlehem,undirected,magtens centrum,4
det politiske magtcentrum,undirected,magtens centrum,1
magtens centrum,undirected,zakæus,1
israel,undirected,magtens centrum,4
den hellige by,undirected,magtens centrum,1
det religiøse magtcentrum,undirected,himmer,1
betlehem,undirected,himmer,16
det politiske magtcentrum,undirected,himmer,1
himmer,undirected,zakæus,2
himmer,undirected,israel,33
den hellige by,undirected,himmer,1
betlehem,undirected,det religiøse magtcentrum,1
det politiske magtcentrum,undirected,det religiøse magtcentrum,1
det religiøse magtcentrum,undirected,zakæus,1
det religiøse magtcentrum,undirected,israel,1
den hellige by,undirected,det religiøse magtcentrum,1
betlehem,undirected,det politiske magtcentrum,1
betlehem,undirected,zakæus,2
betlehem,undirected,den hellige by,2
det politiske magtcentrum,undirected,zakæus,1
det politiske magtcentrum,undirected,israel,1
den hellige by,undirected,det politiske magtcentrum,1
den hellige by,undirected,zakæus,1
den hellige by,undirected,israel,5
bruxel,undirected,jerusalem,6
jerusalem,undirected,pins,68
jerusalem,undirected,tyskland,29
bruxel,undirected,pins,1
bruxel,undirected,tyskland,1
pins,undirected,tyskland,4
himmer,undirected,østland,1
det forjættede land,undirected,himmer,3
det forjættede land,undirected,østland,1
himmer,undirected,usa,12
himmer,undirected,nørreport,1
himmer,undirected,israelpalæstina,1
nørreport,undirected,usa,2
israelpalæstina,undirected,usa,1
israelpalæstina,undirected,nørreport,1
det gamle testament,undirected,egypt,54
afghanistan,undirected,egypt,4
egypt,undirected,israel,87
egypt,undirected,liby,4
danmark,undirected,det gamle testament,91
afghanistan,undirected,det gamle testament,9
det gamle testament,undirected,israel,112
det gamle testament,undirected,liby,3
danmark,undirected,liby,12
afghanistan,undirected,israel,8
afghanistan,undirected,liby,6
israel,undirected,liby,9
køln,undirected,vest,1
betlehem,undirected,køln,4
køln,undirected,thailand,1
grønland,undirected,køln,1
køln,undirected,vestsjælland,1
ghana,undirected,køln,1
alp,undirected,køln,1
afrika,undirected,køln,1
køln,undirected,nordpol,1
køln,undirected,tyskland,3
betlehem,undirected,vest,5
thailand,undirected,vest,2
grønland,undirected,vest,1
vest,undirected,vestsjælland,1
ghana,undirected,vest,1
alp,undirected,vest,1
afrika,undirected,vest,7
nordpol,undirected,vest,1
tyskland,undirected,vest,5
betlehem,undirected,thailand,1
betlehem,undirected,grønland,6
betlehem,undirected,vestsjælland,2
betlehem,undirected,ghana,1
alp,undirected,betlehem,2
betlehem,undirected,nordpol,2
betlehem,undirected,tyskland,20
grønland,undirected,thailand,1
thailand,undirected,vestsjælland,1
ghana,undirected,thailand,1
alp,undirected,thailand,3
afrika,undirected,thailand,2
nordpol,undirected,thailand,1
thailand,undirected,tyskland,2
grønland,undirected,vestsjælland,3
ghana,undirected,grønland,1
alp,undirected,grønland,1
afrika,undirected,grønland,5
grønland,undirected,nordpol,2
grønland,undirected,tyskland,3
ghana,undirected,vestsjælland,1
alp,undirected,vestsjælland,1
afrika,undirected,vestsjælland,2
nordpol,undirected,vestsjælland,1
tyskland,undirected,vestsjælland,1
alp,undirected,ghana,1
afrika,undirected,ghana,1
ghana,undirected,nordpol,1
ghana,undirected,tyskland,1
afrika,undirected,alp,1
alp,undirected,nordpol,1
alp,undirected,tyskland,1
afrika,undirected,nordpol,1
afrika,undirected,tyskland,2
nordpol,undirected,tyskland,2
atla,undirected,danmark,1
atla,undirected,nazareth,1
danmark,undirected,nazareth,43
copenhagen maraton,undirected,konfirmandhus,1
himmer,undirected,island,2
dolerosa,undirected,rom,1
egypt,undirected,paris,6
bonhoef,undirected,egypt,1
egypt,undirected,vestafrika,1
egypt,undirected,tunesi,2
egypt,undirected,syri,16
egypt,undirected,himmer,7
egypt,undirected,pastoralseminari,1
den vestlige verd,undirected,egypt,2
egypt,undirected,myanmar,2
egypt,undirected,estragon,1
bonhoef,undirected,paris,1
paris,undirected,vestafrika,2
paris,undirected,tunesi,1
paris,undirected,syri,9
himmer,undirected,paris,4
paris,undirected,århus,3
paris,undirected,pastoralseminari,1
den vestlige verd,undirected,paris,1
myanmar,undirected,paris,1
estragon,undirected,paris,1
bonhoef,undirected,vestafrika,1
bonhoef,undirected,tunesi,1
bonhoef,undirected,syri,1
bonhoef,undirected,himmer,1
bonhoef,undirected,århus,1
bonhoef,undirected,pastoralseminari,1
bonhoef,undirected,den vestlige verd,1
bonhoef,undirected,myanmar,1
bonhoef,undirected,estragon,1
tunesi,undirected,vestafrika,1
syri,undirected,vestafrika,3
himmer,undirected,vestafrika,1
vestafrika,undirected,århus,2
pastoralseminari,undirected,vestafrika,1
den vestlige verd,undirected,vestafrika,1
myanmar,undirected,vestafrika,1
estragon,undirected,vestafrika,1
syri,undirected,tunesi,2
himmer,undirected,tunesi,1
tunesi,undirected,århus,1
pastoralseminari,undirected,tunesi,1
den vestlige verd,undirected,tunesi,1
myanmar,undirected,tunesi,1
estragon,undirected,tunesi,1
himmer,undirected,syri,11
syri,undirected,århus,3
pastoralseminari,undirected,syri,1
den vestlige verd,undirected,syri,1
myanmar,undirected,syri,2
estragon,undirected,syri,1
himmer,undirected,århus,3
himmer,undirected,pastoralseminari,1
den vestlige verd,undirected,himmer,2
himmer,undirected,myanmar,1
estragon,undirected,himmer,1
pastoralseminari,undirected,århus,1
den vestlige verd,undirected,århus,1
myanmar,undirected,århus,2
estragon,undirected,århus,1
den vestlige verd,undirected,pastoralseminari,1
myanmar,undirected,pastoralseminari,1
estragon,undirected,pastoralseminari,1
den vestlige verd,undirected,myanmar,1
den vestlige verd,undirected,estragon,1
estragon,undirected,myanmar,1
indi,undirected,karlsvogn,1
karlsvogn,undirected,paradis,1
indi,undirected,paradis,8
golgata,undirected,jord,35
