Source,Type,Target,Weight
folkekirkens,undirected,nazareth,1
atlas,undirected,gudsrigets,1
atlas,undirected,nazareth,1
gudsrigets,undirected,nazareth,1
paris,undirected,syrien,9
syrien,undirected,vestafrika,3
egypten,undirected,syrien,17
myanmar,undirected,syrien,2
syrien,undirected,tunesien,2
malakias,undirected,syrien,1
godot,undirected,syrien,1
syrien,undirected,århus,3
paris,undirected,vestafrika,2
egypten,undirected,paris,6
myanmar,undirected,paris,1
paris,undirected,tunesien,1
malakias,undirected,paris,1
godot,undirected,paris,2
paris,undirected,århus,3
egypten,undirected,vestafrika,1
myanmar,undirected,vestafrika,1
tunesien,undirected,vestafrika,1
malakias,undirected,vestafrika,1
godot,undirected,vestafrika,1
vestafrika,undirected,århus,2
egypten,undirected,myanmar,2
egypten,undirected,tunesien,2
egypten,undirected,malakias,1
egypten,undirected,godot,1
myanmar,undirected,tunesien,1
malakias,undirected,myanmar,1
godot,undirected,myanmar,1
myanmar,undirected,århus,1
malakias,undirected,tunesien,1
godot,undirected,tunesien,1
tunesien,undirected,århus,1
godot,undirected,malakias,1
malakias,undirected,århus,1
godot,undirected,århus,1
indiens,undirected,paradiset,1
cambodja,undirected,vestre fængsel,1
roskilde,undirected,vestre fængsel,1
danmark,undirected,vestre fængsel,2
cambodja,undirected,roskilde,1
danmark,undirected,roskilde,3
usa,undirected,vejen,1
forrest gump,undirected,usa,1
ledøjesmørum,undirected,usa,1
troen,undirected,usa,1
forrest gump,undirected,vejen,1
ledøjesmørum,undirected,vejen,1
troen,undirected,vejen,1
forrest gump,undirected,ledøjesmørum,1
forrest gump,undirected,troen,1
ledøjesmørum,undirected,troen,1
new york,undirected,nice,1
egypten,undirected,new york,1
moriabjerget,undirected,new york,1
egypten,undirected,nice,1
moriabjerget,undirected,nice,1
egypten,undirected,moriabjerget,1
frederikssund,undirected,smørum,1
frederikssund,undirected,jorden,1
frederikssund,undirected,ledøje,1
frederikssund,undirected,skjern å,1
jorden,undirected,smørum,1
ledøje,undirected,smørum,1
skjern å,undirected,smørum,1
jorden,undirected,ledøje,1
jorden,undirected,skjern å,1
ledøje,undirected,skjern å,1
jerusalem,undirected,paradiset,33
kirkehøjskolen,undirected,thy,1
babylons,undirected,kirkehøjskolen,1
kirkehøjskolen,undirected,siloa,1
kirkehøjskolen,undirected,krogsdal,1
israel,undirected,kirkehøjskolen,1
babylons,undirected,thy,1
siloa,undirected,thy,1
krogsdal,undirected,thy,1
israel,undirected,thy,3
babylons,undirected,siloa,1
babylons,undirected,krogsdal,1
babylons,undirected,israel,3
krogsdal,undirected,siloa,1
israel,undirected,siloa,5
israel,undirected,krogsdal,2
jorden,undirected,jordens,42
jorden,undirected,kongehuset,1
jordens,undirected,kongehuset,1
betlehem,undirected,vestbredden,3
nazaret,undirected,vestbredden,2
fakta,undirected,vestbredden,1
betlehem,undirected,fakta,1
fakta,undirected,nazaret,1
amager,undirected,københavn,1
amager,undirected,esajas,1
amager,undirected,fyn,1
amager,undirected,trinitatis kirke,1
esajas,undirected,københavn,1
fyn,undirected,københavn,1
københavn,undirected,trinitatis kirke,1
esajas,undirected,fyn,2
esajas,undirected,trinitatis kirke,2
fyn,undirected,trinitatis kirke,1
tyskland,undirected,zoo,1
frederiksberg,undirected,tyskland,2
silkeborg,undirected,tyskland,1
paradis,undirected,tyskland,8
danmark,undirected,zoo,1
danmark,undirected,frederiksberg,5
danmark,undirected,silkeborg,3
danmark,undirected,paradis,69
frederiksberg,undirected,zoo,1
silkeborg,undirected,zoo,1
paradis,undirected,zoo,2
frederiksberg,undirected,silkeborg,1
frederiksberg,undirected,paradis,2
paradis,undirected,silkeborg,1
danmark,undirected,tyrus,3
israels,undirected,tyrus,10
mellemøsten,undirected,tyrus,3
israel,undirected,tyrus,14
danmark,undirected,sidon,5
israels,undirected,mellemøsten,10
israels,undirected,sidon,12
israel,undirected,israels,112
mellemøsten,undirected,sidon,3
israel,undirected,mellemøsten,28
israel,undirected,sidon,20
jordanfloden,undirected,nazaret,5
bibelens,undirected,jerusalem,7
jerusalem,undirected,jordanfloden,40
bibelens,undirected,jordanfloden,1
borneos,undirected,grønland,1
grønland,undirected,københavns universitet,1
grønland,undirected,vejen,1
borneos,undirected,københavns universitet,1
borneos,undirected,vejen,1
afrika,undirected,borneos,1
københavns universitet,undirected,vejen,1
afrika,undirected,københavns universitet,1
afrika,undirected,vejen,1
godthåbsfjorden,undirected,grønland,1
grønland,undirected,kina,3
grønland,undirected,jordens,3
danmark,undirected,grønland,12
grønland,undirected,halen,1
grønland,undirected,nuuk,2
godthåbsfjorden,undirected,kina,1
godthåbsfjorden,undirected,jordens,1
danmark,undirected,godthåbsfjorden,1
godthåbsfjorden,undirected,halen,1
godthåbsfjorden,undirected,nuuk,1
jordens,undirected,kina,4
halen,undirected,kina,1
kina,undirected,nuuk,1
danmark,undirected,jordens,37
halen,undirected,jordens,1
jordens,undirected,nuuk,1
danmark,undirected,halen,1
danmark,undirected,nuuk,2
halen,undirected,nuuk,1
israel,undirected,lund,1
golgata,undirected,lund,1
israelpalæstina,undirected,lund,1
lund,undirected,templet,1
jerusalem,undirected,lund,1
berlinmurens,undirected,lund,1
golgata,undirected,israel,18
israel,undirected,israelpalæstina,1
israel,undirected,templet,25
berlinmurens,undirected,israel,1
golgata,undirected,israelpalæstina,1
golgata,undirected,templet,3
golgata,undirected,jerusalem,67
berlinmurens,undirected,golgata,1
israelpalæstina,undirected,templet,1
israelpalæstina,undirected,jerusalem,1
berlinmurens,undirected,israelpalæstina,1
jerusalem,undirected,templet,100
